samplenumber,waterbodyname,beachname,beachaccessnumber,collectiondate,parameters,cellcount
M121508,Isle Lake,Kokomoko Day Use Area,9602376,9-Jul-12,Aphanizomenon issatschenkoi (Usachev) Proshkina-Lavrenko,780443
M121508,Isle Lake,Kokomoko Day Use Area,9602376,9-Jul-12,Microcystis aeruginosa (Kützing) Kützing,441100
M121508,Isle Lake,Kokomoko Day Use Area,9602376,9-Jul-12,Total cyanobacterial cell count,2349783
M121597,Isle Lake,Kokomoko Day Use Area,9602376,16-Jul-12,Aphanizomenon (A.Morren ex Bornet et Flahault),136847
M121597,Isle Lake,Kokomoko Day Use Area,9602376,16-Jul-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),573160
M121597,Isle Lake,Kokomoko Day Use Area,9602376,16-Jul-12,Aphanizomenon issatschenkoi (Usachev) Proshkina-Lavrenko,217927
M121597,Isle Lake,Kokomoko Day Use Area,9602376,16-Jul-12,Chroococcus (Nägeli),3412
M121597,Isle Lake,Kokomoko Day Use Area,9602376,16-Jul-12,Coelosphaerium kuetzingianum (Nägeli),25923
M121597,Isle Lake,Kokomoko Day Use Area,9602376,16-Jul-12,Coelosphaerium naegelianum (Unger),25923
M121597,Isle Lake,Kokomoko Day Use Area,9602376,16-Jul-12,Microcystis aeruginosa (Kützing) Kützing,325439
M121597,Isle Lake,Kokomoko Day Use Area,9602376,16-Jul-12,Total cyanobacterial cell count,1308631
M121515,Isle Lake,Kokomoko Day Use Area,9602376,30-Jul-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),232340
M121515,Isle Lake,Kokomoko Day Use Area,9602376,30-Jul-12,Aphanizomenon issatschenkoi (Usachev) Proshkina-Lavrenko,18233
M121515,Isle Lake,Kokomoko Day Use Area,9602376,30-Jul-12,Coelosphaerium kuetzingianum (Nägeli),25465
M121515,Isle Lake,Kokomoko Day Use Area,9602376,30-Jul-12,Microcystis aeruginosa (Kützing) Kützing,8912656
M121515,Isle Lake,Kokomoko Day Use Area,9602376,30-Jul-12,Microcystis wesenbergii (Komárek) Komárek,1527884
M121515,Isle Lake,Kokomoko Day Use Area,9602376,30-Jul-12,Pseudanabaena (Lauterborn),5144
M121515,Isle Lake,Kokomoko Day Use Area,9602376,30-Jul-12,Pseudanabaena raphidiodes (Geitler) Anagnostidis & Komárek,3005
M121515,Isle Lake,Kokomoko Day Use Area,9602376,30-Jul-12,Total cyanobacterial cell count,10724727
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),102623
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Chroococcus (Nägeli),15839
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Coelosphaerium kuetzingianum (Nägeli),45837
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Cyanobium (Rippka et Cohen-Bazire),534759
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Microcystis aeruginosa (Kützing) Kützing,386045
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Microcystis wesenbergii (Komárek) Komárek,575503
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Pseudanabaena (Lauterborn),46295
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Rhabdoderma (Schmidle & Lauterborn),3718
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Spirulina (Turpin ex Gomont),6264
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Synechococcus (Nägeli),763942
M121522,Isle Lake,Kokomoko Day Use Area,9602376,9-Aug-12,Total cyanobacterial cell count,2480825
M121525,Isle Lake,Kokomoko Day Use Area,9602376,13-Aug-12,Cyanodictyon (Pascher),25465
M121525,Isle Lake,Kokomoko Day Use Area,9602376,13-Aug-12,Total cyanobacterial cell count,25465
M121533,Isle Lake,Kokomoko Day Use Area,9602376,20-Aug-12,Microcystis aeruginosa (Kützing) Kützing,1201120
M121533,Isle Lake,Kokomoko Day Use Area,9602376,20-Aug-12,Microcystis wesenbergii (Komárek) Komárek,35498
M121533,Isle Lake,Kokomoko Day Use Area,9602376,20-Aug-12,Total cyanobacterial cell count,1236618
M121534,Isle Lake,Kokomoko Day Use Area,9602376,27-Aug-12,Aphanizomenon (A.Morren ex Bornet et Flahault),18691
M121534,Isle Lake,Kokomoko Day Use Area,9602376,27-Aug-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),26534
M121534,Isle Lake,Kokomoko Day Use Area,9602376,27-Aug-12,Microcystis aeruginosa (Kützing) Kützing,640591
M121534,Isle Lake,Kokomoko Day Use Area,9602376,27-Aug-12,Microcystis wesenbergii (Komárek) Komárek,18793
M121534,Isle Lake,Kokomoko Day Use Area,9602376,27-Aug-12,Total cyanobacterial cell count,704609
M121819,Kehiwin Lake,Elk Point Elks Wilderness Park Beach,9013527,28-Aug-12,Anabaena (Bory de Saint-Vincent ex Bornet et Flahault),2750
M121819,Kehiwin Lake,Elk Point Elks Wilderness Park Beach,9013527,28-Aug-12,Anabaena circinalis (Rabenhorst ex Bornet et Flahault),2292
M121819,Kehiwin Lake,Elk Point Elks Wilderness Park Beach,9013527,28-Aug-12,Anabaena cylindrica (Lemmermann),4023
M121819,Kehiwin Lake,Elk Point Elks Wilderness Park Beach,9013527,28-Aug-12,Anabaena planctonica (Brunnthaler),19302
